[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 325112, delta_rrun, 325112, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 48038, delta_rrun, 48038, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 49125, delta_rrun, 50404, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 19525, delta_rrun, 19525, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 45580, delta_rrun, 45580, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 195618, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 128870, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 137214, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 27026, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 35396, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 25295, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 36829, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 31717, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 134411, delta_rrun, 134411, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 29932, delta_rrun, 29932, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 72415, delta_rrun, 72415, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 332039, delta_rrun, 332039, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 38905, delta_rrun, 38905, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 71366, delta_rrun, 71366, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 53165, delta_rrun, 54859, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 79265, prio, 94
[화  5월 18 15:17:05 2021] tgid, 2209, delta_vrun, 333, delta_rrun, 3107, prio, 110
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 99553, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 429227, delta_rrun, 429227, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 12031, delta_rrun, 39895, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 11503, delta_rrun, 26258, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 21543, delta_rrun, 22929, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 62342, delta_rrun, 62342, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 83400, delta_rrun, 83400, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 23180, delta_rrun, 24407, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 32261, delta_rrun, 32261, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 118676, delta_rrun, 118676, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 36652, delta_rrun, 36652, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 35576, delta_rrun, 35576, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 73490, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 401291, delta_rrun, 401291, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 65212, delta_rrun, 65212, prio, 120
